Feature,OR,SE,Lower,Upper
Age,1.3678012137448876,0.02103472813142562,1.3125560638872291,1.4253716178654054
CCI,1.2008185941765948,0.01903152007315747,1.1568510556564509,1.246457172744693
P/F Ratio,0.7450537999244252,0.022506395883060932,0.7129019507690275,0.7786556961767571
Lactate,1.7003898399175477,0.019259812186577747,1.6373978591427567,1.7658051716328418
Compliance,0.8397470100058693,0.023721989663284714,0.8015966636186113,0.879713043752525
Sex (Male),0.8192448818949303,0.04118890334051354,0.7557062856967519,0.8881257033507866
MP < 12,0.8746522633085959,0.047872032941729536,0.7963168898432238,0.9606936528264058
MP 17-22,1.3663442517835378,0.053921128064124635,1.2293103644985088,1.518653603106574
MP > 22,1.83448938070471,0.05946523040235704,1.6326661028853573,2.061261198459915
