prs,risk_ratio,risk_never,risk_always
-2.702335834503174,1.3290488375467253,0.01677001267671585,0.022288165986537933
-2.0729520320892334,1.9044350254809617,0.024456998333334923,0.046576764434576035
-1.443568229675293,2.6680484540603437,0.037247657775878906,0.0993785560131073
-0.8141845464706421,3.5841549711535774,0.062271904200315475,0.22319215536117554
-0.184800922870636,4.291523407779264,0.1024930477142334,0.439851313829422
0.44458281993865967,4.295731158989004,0.166239932179451,0.7141220569610596
1.0739665031433105,3.4909180170314156,0.2640277147293091,0.9216991066932678
1.703350305557251,2.4999313347552317,0.39626699686050415,0.9906402826309204
2.3327341079711914,1.9115596278514573,0.5229032039642334,0.9995606541633606
2.9621176719665527,1.6314210721362572,0.6129515767097473,0.9999821186065674
